,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_penalty,param_solver,param_max_depth,param_min_samples_split,param_n_estimators
0,0,30,0.0005984306335449219,0.000488616573967537,0.0003989219665527344,0.0004885776326209085,0.0001,linear,,"{'C': 0.0001, 'kernel': 'linear', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.46521739130434786,0.10167159904157017,SVC,,,,,
1,0,30,0.0005985260009765625,0.0004886944566570864,0.0003989696502685547,0.0004886360388238481,0.0001,poly,,"{'C': 0.0001, 'kernel': 'poly', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4235507246376812,0.02222878500025791,SVC,,,,,
2,0,30,0.0001979351043701172,0.00039587020874023434,0.0009971141815185546,2.3360154559928684e-07,0.0001,rbf,,"{'C': 0.0001, 'kernel': 'rbf', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.75,0.4166666666666667,0.4166666666666667,0.4818840579710145,0.1347709204843224,SVC,,,,,
3,0,30,0.0004263401031494141,0.0005236445909984533,0.0007564544677734375,0.00038660083620926835,0.0001,sigmoid,,"{'C': 0.0001, 'kernel': 'sigmoid', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.75,0.4166666666666667,0.4166666666666667,0.4818840579710145,0.1347709204843224,SVC,,,,,
4,0,30,0.0007988452911376953,0.0003994273810378333,0.0003693103790283203,0.0004547902734175538,0.001,linear,,"{'C': 0.001, 'kernel': 'linear', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.46521739130434786,0.10167159904157017,SVC,,,,,
5,0,30,0.0001994609832763672,0.00039892196655273444,0.0007990360260009766,0.0003995239993862139,0.001,poly,,"{'C': 0.001, 'kernel': 'poly', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4235507246376812,0.02222878500025791,SVC,,,,,
6,0,30,0.0008952140808105469,0.00048570117520770257,0.00037937164306640626,0.0004656606094736888,0.001,rbf,,"{'C': 0.001, 'kernel': 'rbf', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.75,0.4166666666666667,0.4166666666666667,0.4818840579710145,0.1347709204843224,SVC,,,,,
7,0,30,0.0003925800323486328,0.00048086831350496143,0.0006011962890625,0.0004908795394730284,0.001,sigmoid,,"{'C': 0.001, 'kernel': 'sigmoid', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.75,0.4166666666666667,0.4166666666666667,0.4818840579710145,0.1347709204843224,SVC,,,,,
8,0,30,0.0007997989654541015,0.0003999915638427287,0.00019803047180175782,0.00039606094360351564,0.01,linear,,"{'C': 0.01, 'kernel': 'linear', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.6666666666666666,0.4166666666666667,0.4583333333333333,0.47355072463768116,0.09902380060109912,SVC,,,,,
9,0,30,0.0003991127014160156,0.0004888113271977794,0.0007946968078613281,0.0003973951378617129,0.01,poly,,"{'C': 0.01, 'kernel': 'poly', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.5,0.4166666666666667,0.4583333333333333,0.44021739130434784,0.037091257658173116,SVC,,,,,
10,0,30,0.0007988929748535157,0.0003994523076779477,0.0003982067108154297,0.00048770331102266463,0.01,rbf,,"{'C': 0.01, 'kernel': 'rbf', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.75,0.4166666666666667,0.4166666666666667,0.4818840579710145,0.1347709204843224,SVC,,,,,
11,0,30,0.00019559860229492187,0.00039119720458984374,0.0007702350616455078,0.0003888109720310498,0.01,sigmoid,,"{'C': 0.01, 'kernel': 'sigmoid', 'random_state': None}",0.3333333333333333,0.3333333333333333,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.29333333333333333,0.08,42,0.43478260869565216,0.391304347826087,0.75,0.4166666666666667,0.4166666666666667,0.4818840579710145,0.1347709204843224,SVC,,,,,
