model,fit_time,params,f1_score_micro,f1_score_weighted,precision_score_weighted,recall_score_weighted,accuracy_score,balanced_accuracy_score
LogisticRegression,0.002991914749145508,"{'C': 100000.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l1', 'random_state': None, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9410256410256409
SVC,0.0,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.9210526315789473,0.9213533834586465,0.9236443381180223,0.9210526315789473,0.9210526315789473,0.9153846153846154
RandomForestClassifier,0.008784055709838867,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.868421052631579,0.868421052631579,0.8848178137651822,0.868421052631579,0.868421052631579,0.864102564102564
DummyClassifier,,"{'constant': None, 'random_state': None, 'strategy': 'stratified'}",0.3157894736842105,0.37894736842105264,0.4778195488721805,0.4473684210526316,0.3684210526315789,0.2948717948717949
